,id,delivery_person_id,delivery_person_age,delivery_person_ratings,restaurant_latitude,restaurant_longitude,delivery_location_latitude,delivery_location_longitude,order_date,time_orderd,time_order_picked,weather_conditions,road_traffic_density,vehicle_condition,type_of_order,type_of_vehicle,multiple_deliveries,festival,city,time_taken_min
2378,0x564,JAPRES15DEL03,15.0,1.0,-26.891191,75.802083,26.981191,75.892083,2022-03-12,,17:20,,,3,Meal,Motorcycle,0.0,No,Urban,15
2896,0xcd0,INDORES010DEL03,15.0,1.0,22.75004,75.902847,22.81004,75.962847,2022-04-03,,20:30,,,3,Snack,Scooter,1.0,No,Metropolitian,29
2942,0x91a,SURRES17DEL03,15.0,1.0,21.149569,72.772697,21.209569,72.832697,2022-03-21,,22:10,,,3,Buffet,Bicycle,1.0,No,Metropolitian,20
3577,0x46d,BANGRES05DEL01,50.0,6.0,-12.970324,-77.645748,13.010324,77.685748,2022-03-13,,12:30,,,3,Meal,Electric_Scooter,0.0,No,Urban,25
4705,0x493,HYDRES17DEL01,50.0,6.0,-17.451976,-78.385883,17.561976,78.495883,2022-04-04,,23:20,,,3,Snack,Bicycle,0.0,No,Metropolitian,27
5160,0x4f2,JAPRES08DEL01,50.0,6.0,-26.910262,-75.783013,27.020262,75.893013,2022-03-18,,18:50,,,3,Drinks,Scooter,1.0,No,Metropolitian,20
5353,0x430,BANGRES19DEL01,50.0,6.0,12.914264,77.6784,13.024264,77.7884,2022-04-06,,20:55,,,3,Meal,Electric_Scooter,1.0,No,Metropolitian,18
5642,0xbef1,AGRRES13DEL02,50.0,6.0,-27.159795,-78.04299,27.209795,78.09299,2022-02-13,,18:05,,,3,Drinks,Scooter,1.0,No,Metropolitian,20
5893,0x474,CHENRES15DEL03,15.0,1.0,13.026286,80.275235,13.056286,80.305235,2022-03-11,,20:50,,,3,Drinks,Bicycle,1.0,No,Metropolitian,25
6385,0x427,JAPRES06DEL02,50.0,6.0,26.911927,75.797282,27.041927,75.927282,2022-04-02,,22:10,,,3,Meal,Electric_Scooter,0.0,No,Urban,20
7022,0x3eb,MYSRES15DEL02,50.0,6.0,-12.352058,-76.60665,12.372058,76.62665,2022-03-15,,0.416666667,,,3,Buffet,Scooter,1.0,No,Metropolitian,14
7672,0xd42,VADRES09DEL01,50.0,6.0,0.0,0.0,0.01,0.01,2022-03-21,,08:35,,,3,Meal,Bicycle,1.0,No,Metropolitian,22
